ward_code,ward_name,la_code,la_name,ward_area,usual_residents,usual_residents_aged_16+,usual_residents_aged_16+_in_employment,households,housolds_deprived_in_0_dimensions,housolds_deprived_in_1_dimension,housolds_deprived_in_2_dimensions,housolds_deprived_in_3_dimensions,housolds_deprived_in_4_dimensions
E05013652,Belsize,E09000007,Camden,1002259.794,12087,10058,6907,5900,3543,1738,469,129,21
E05013653,Bloomsbury,E09000007,Camden,1236076.378,11340,10643,4459,4757,2085,1733,710,201,28
E05013654,Camden Square,E09000007,Camden,466364.2528,7083,6083,3601,3201,1435,1039,526,182,19
E05013655,Camden Town,E09000007,Camden,604940.2668,6807,5894,3357,3025,1357,967,487,203,11
E05013656,Fortune Green,E09000007,Camden,1018194.313,11551,9662,6471,5127,2655,1549,639,232,52
E05013657,Frognal,E09000007,Camden,1154472.943,7720,6257,3898,3292,2079,902,234,64,13
E05013658,Gospel Oak,E09000007,Camden,805029.4084,11709,9749,5725,5256,2225,1751,871,364,45
E05013659,Hampstead Town,E09000007,Camden,2207667.415,8082,6684,4305,3745,2430,1033,216,60,6
E05013660,Haverstock,E09000007,Camden,731488.4853,11979,9869,5658,5076,2129,1677,880,359,31
E05013661,Highgate,E09000007,Camden,3223215.471,10234,8575,4980,4457,2285,1363,587,201,21
E05013662,Holborn & Covent Garden,E09000007,Camden,1109046.56,10308,9081,4900,5024,2216,1660,849,268,31
E05013663,Kentish Town North,E09000007,Camden,553655.0382,7293,6251,4153,3351,1727,1009,452,152,11
E05013664,Kentish Town South,E09000007,Camden,821271.8269,10315,8694,5102,4304,1949,1351,682,293,29
E05013665,Kilburn,E09000007,Camden,656928.7079,12010,9951,5561,5529,1945,1957,1118,433,76
E05013666,King's Cross,E09000007,Camden,1077806.193,11479,10038,4450,4376,1872,1499,718,268,19
E05013667,Primrose Hill,E09000007,Camden,1332552.305,12428,10232,5999,5608,2936,1690,707,252,23
E05013668,Regent's Park,E09000007,Camden,1349602.919,11936,10041,5033,4966,1933,1698,961,339,35
E05013669,St Pancras & Somers Town,E09000007,Camden,824381.3854,12482,10303,4729,4857,1471,1744,1105,467,70
E05013670,South Hampstead,E09000007,Camden,803601.5233,12026,10089,6760,5527,3019,1670,629,183,26
E05013671,West Hampstead,E09000007,Camden,810753.4103,11170,9702,6546,5323,2773,1560,689,267,34
